Volume;Material
7.61;Concrete
10.63;Concrete
30.14;Concrete
16.75;Concrete
7.66;Concrete
17.26;Concrete
2.32;Concrete
12.5;Concrete
4.52;Concrete
6.24;Concrete
3.76;Concrete
1.77;Concrete
8.05;Concrete
4.68;Concrete
8.04;Concrete
10.01;Concrete
4.23;Concrete
6.73;Concrete
5.32;Concrete
5.45;Concrete
5.73;Concrete
2.16;Concrete
1.72;Concrete
3.44;Concrete
10.7;Concrete
1.55;Concrete
2.34;Concrete
1.97;Concrete
1.76;Concrete
5.86;Concrete
2.0;Concrete
6.55;Concrete
3.39;Concrete
8.88;Concrete
1.38;Concrete
7.97;Concrete
12.76;Concrete
6.54;Concrete
6.26;Concrete
4.98;Concrete
9.89;Concrete
14.24;Concrete
1.34;Concrete
4.44;Concrete
1.82;Concrete
1.74;Concrete
1.78;Concrete
29.08;Concrete
3.97;Concrete
14.83;Concrete
7.89;Concrete
11.2;Concrete
5.49;Concrete
14.92;Concrete
19.22;Concrete
0.33;Concrete
12.09;Concrete
15.36;Concrete
4.97;Concrete
5.96;Concrete
4.84;Concrete
5.03;Concrete
5.26;Concrete
1.93;Concrete
1.5;Concrete
1.82;Concrete
5.36;Concrete
1.88;Concrete
4.12;Concrete
8.03;Concrete
1.23;Concrete
7.14;Concrete
4.13;Concrete
5.72;Concrete
4.36;Concrete
7.69;Concrete
3.8;Concrete
8.56;Concrete
3.84;Concrete
1.65;Concrete
1.4;Concrete
1.59;Concrete
7.15;Concrete
3.13;Concrete
9.96;Concrete
1.53;Concrete
1.78;Concrete
1.57;Concrete
4.1;Concrete
7.26;Concrete
6.93;Concrete
3.89;Concrete
3.94;Concrete
1.55;Concrete
4.54;Concrete
8.94;Concrete
4.02;Concrete
2.79;Concrete
0.55;Concrete
1.75;Concrete
11.91;Concrete
5.91;Concrete
13.29;Concrete
3.19;Concrete
3.47;Concrete
3.15;Concrete
5.42;Concrete
4.99;Concrete
13.09;Concrete
17.06;Concrete
5.32;Concrete
11.08;Concrete
3.19;Concrete
1.53;Concrete
1.38;Concrete
9.07;Concrete
6.14;Concrete
4.84;Concrete
5.05;Concrete
5.26;Concrete
1.93;Concrete
1.5;Concrete
1.82;Concrete
5.39;Concrete
1.88;Concrete
6.0;Concrete
4.07;Concrete
7.77;Concrete
1.23;Concrete
7.23;Concrete
4.16;Concrete
3.92;Concrete
9.96;Concrete
3.84;Concrete
1.65;Concrete
1.45;Concrete
1.59;Concrete
7.15;Concrete
3.11;Concrete
10.0;Concrete
1.52;Concrete
1.76;Concrete
1.57;Concrete
5.55;Concrete
6.82;Concrete
4.09;Concrete
11.79;Concrete
5.91;Concrete
13.29;Concrete
3.12;Concrete
5.96;Concrete
5.05;Concrete
13.68;Concrete
17.78;Concrete
5.61;Concrete
11.08;Concrete
3.26;Concrete
1.15;Concrete
1.38;Concrete
9.5;Concrete
6.14;Concrete
4.84;Concrete
5.07;Concrete
5.25;Concrete
1.93;Concrete
1.5;Concrete
1.82;Concrete
5.41;Concrete
1.88;Concrete
5.98;Concrete
4.24;Concrete
1.23;Concrete
7.38;Concrete
4.18;Concrete
4.12;Concrete
10.01;Concrete
3.83;Concrete
1.61;Concrete
1.31;Concrete
7.08;Concrete
3.14;Concrete
10.0;Concrete
1.53;Concrete
1.74;Concrete
1.57;Concrete
5.67;Concrete
6.95;Concrete
4.1;Concrete
13.64;Concrete
7.55;Concrete
10.68;Concrete
5.76;Concrete
13.22;Concrete
4.26;Concrete
4.81;Concrete
3.25;Concrete
3.88;Concrete
1.55;Concrete
12.58;Concrete
6.27;Concrete
13.7;Concrete
2.61;Concrete
3.27;Concrete
11.64;Concrete
3.38;Concrete
1.21;Concrete
1.41;Concrete
9.96;Concrete
6.26;Concrete
4.84;Concrete
5.17;Concrete
5.55;Concrete
1.98;Concrete
1.55;Concrete
1.83;Concrete
5.38;Concrete
1.83;Concrete
6.01;Concrete
7.87;Concrete
1.23;Concrete
7.23;Concrete
3.12;Concrete
10.08;Concrete
1.53;Concrete
1.76;Concrete
1.62;Concrete
13.86;Concrete
4.46;Concrete
3.28;Concrete
3.19;Concrete
4.18;Concrete
14.88;Concrete
